Shipment_ID,Batch_ID,Drug_ID,Drug_Name,Supplier_ID,Origin_Hub,Destination_Hub,Current_Latitude,Current_Longitude,Internal_Temperature_C,Temperature_Alert,Humidity_Level_pct,Humidity_Alert,Vibration_Alert,GPS_Speed_kmh,Battery_Level_pct,Signal_Strength_dBm,Timestamp,Transit_Status,Expected_Delivery,SLA_Breach
SHP000071,BAT000071,DRG0071,Telmisartan 40mg,SUP007,Chennai Port,Pune Distribution,13.222789,80.079576,28.1,Normal,64.0,Normal,Normal,45.7,63,-99,2026-05-15 17:07:36,At Checkpoint,2026-05-18,On Track
SHP000072,BAT000072,DRG0072,Telmisartan 80mg,SUP011,Pune Distribution,Lucknow Store,23.303696,77.972667,28.2,Normal,43.2,Normal,Normal,78.3,55,-102,2026-05-15 22:34:36,In Transit,2026-05-25,On Track
SHP000073,BAT000073,DRG0073,Olmesartan 20mg,SUP019,Delhi Cold Hub,Chennai Port,25.755802,77.796346,34.0,CRITICAL TEMP EXCURSION,44.6,Normal,Minor,52.5,51,-60,2026-05-16 01:22:36,Delivered,2026-05-17,On Track
SHP000074,BAT000074,DRG0074,Valsartan 80mg,SUP017,Chennai Port,Pune Distribution,17.872563,74.618016,23.0,Normal,66.2,Normal,Normal,20.3,22,-109,2026-05-15 12:31:36,Delayed,2026-05-26,On Track
SHP000075,BAT000075,DRG0075,Valsartan 160mg,SUP009,Ahmedabad Hub,Jaipur Depot,26.261785,75.178923,32.2,CRITICAL TEMP EXCURSION,60.2,Normal,Normal,82.5,91,-93,2026-05-15 19:53:36,In Transit,2026-05-19,On Track
SHP000076,BAT000076,DRG0076,Metoprolol 25mg,SUP011,Pune Distribution,Chennai Port,14.468885,78.636362,23.5,Normal,44.7,Normal,ALERT: Severe,58.5,83,-107,2026-05-16 02:54:36,Delivered,2026-05-19,On Track
SHP000077,BAT000077,DRG0077,Metoprolol 50mg,SUP017,Bengaluru Pharma Hub,Mumbai Warehouse,17.183891,74.317003,19.8,Normal,79.8,High Humidity Alert,Normal,40.8,93,-83,2026-05-15 17:05:36,Delayed,2026-05-21,Breached
SHP000078,BAT000078,DRG0078,Metoprolol 100mg,SUP003,Hyderabad Depot,Ahmedabad Hub,17.382063,78.422751,29.1,WARNING: Near Limit,64.6,Normal,Normal,73.4,76,-51,2026-05-15 12:25:36,In Transit,2026-05-16,On Track
SHP000079,BAT000079,DRG0079,Atenolol 25mg,SUP004,Pune Distribution,Lucknow Store,23.94064,78.412896,30.9,CRITICAL TEMP EXCURSION,77.1,High Humidity Alert,Normal,65.7,28,-91,2026-05-16 00:23:36,In Transit,2026-05-23,On Track
SHP000080,BAT000080,DRG0080,Atenolol 50mg,SUP010,Hyderabad Depot,Delhi Cold Hub,22.17245,77.915808,27.5,Normal,72.3,Normal,Normal,68.7,87,-59,2026-05-15 09:19:36,Delayed,2026-05-17,Breached
SHP000081,BAT000081,DRG0081,Bisoprolol 2.5mg,SUP008,Bengaluru Pharma Hub,Mumbai Warehouse,14.152888,76.67073,19.9,Normal,72.7,Normal,Normal,81.6,23,-72,2026-05-15 08:44:36,In Transit,2026-05-25,On Track
SHP000082,BAT000082,DRG0082,Bisoprolol 5mg,SUP020,Ahmedabad Hub,Hyderabad Depot,21.105286,74.652718,28.7,Normal,66.3,Normal,Normal,81.9,38,-100,2026-05-16 01:36:36,Delayed,2026-05-23,Breached
SHP000083,BAT000083,DRG0083,Ramipril 2.5mg,SUP019,Lucknow Store,Hyderabad Depot,18.401861,78.715769,28.2,Normal,68.0,Normal,Normal,70.4,48,-102,2026-05-15 23:00:36,Delivered,2026-05-22,On Track
SHP000084,BAT000084,DRG0084,Ramipril 5mg,SUP004,Delhi Cold Hub,Jaipur Depot,27.971837,76.701103,24.6,Normal,55.3,Normal,Minor,16.9,97,-79,2026-05-16 02:37:36,At Checkpoint,2026-05-18,On Track
SHP000085,BAT000085,DRG0085,Lisinopril 5mg,SUP012,Hyderabad Depot,Kolkata Cold Chain,17.536524,78.830175,22.3,Normal,76.5,High Humidity Alert,Minor,20.0,91,-67,2026-05-15 11:37:36,Delayed,2026-05-18,On Track
SHP000086,BAT000086,DRG0086,Lisinopril 10mg,SUP009,Ahmedabad Hub,Kolkata Cold Chain,22.633427,87.151968,22.8,Normal,41.0,Normal,Normal,67.8,36,-101,2026-05-15 23:35:36,In Transit,2026-05-18,On Track
SHP000087,BAT000087,DRG0087,Hydrochlorothiazide 12.5mg,SUP017,Bengaluru Pharma Hub,Lucknow Store,25.73257,80.690348,21.5,Normal,84.8,High Humidity Alert,Normal,50.4,92,-101,2026-05-15 08:03:36,Delayed,2026-05-26,On Track
SHP000088,BAT000088,DRG0088,Hydrochlorothiazide 25mg,SUP016,Bengaluru Pharma Hub,Pune Distribution,15.206719,76.112753,29.9,WARNING: Near Limit,41.6,Normal,ALERT: Severe,4.4,69,-95,2026-05-15 09:03:36,Delayed,2026-05-23,On Track
SHP000089,BAT000089,DRG0089,Furosemide 20mg,SUP015,Hyderabad Depot,Delhi Cold Hub,26.948122,77.349702,27.5,Normal,45.2,Normal,Normal,0.6,60,-96,2026-05-15 11:40:36,In Transit,2026-05-17,On Track
SHP000090,BAT000090,DRG0090,Furosemide 40mg,SUP007,Jaipur Depot,Pune Distribution,25.70506,75.457785,20.1,Normal,66.4,Normal,Minor,70.6,71,-96,2026-05-15 11:15:36,Delayed,2026-05-23,On Track
SHP000091,BAT000091,DRG0091,Spironolactone 25mg,SUP003,Kolkata Cold Chain,Delhi Cold Hub,24.446232,84.860761,21.0,Normal,34.0,Normal,Normal,84.3,28,-87,2026-05-16 03:47:36,Delivered,2026-05-20,On Track
SHP000092,BAT000092,DRG0092,Carvedilol 6.25mg,SUP020,Delhi Cold Hub,Lucknow Store,27.655096,79.309324,18.2,Normal,81.3,High Humidity Alert,Normal,51.9,68,-73,2026-05-15 23:31:36,At Checkpoint,2026-05-21,On Track
SHP000093,BAT000093,DRG0093,Carvedilol 12.5mg,SUP012,Ahmedabad Hub,Jaipur Depot,24.984909,74.1246,27.7,Normal,31.0,Normal,Normal,39.1,40,-68,2026-05-16 06:14:36,In Transit,2026-05-25,On Track
SHP000094,BAT000094,DRG0094,Metformin 500mg,SUP017,Ahmedabad Hub,Delhi Cold Hub,23.798843,73.166873,31.2,CRITICAL TEMP EXCURSION,43.4,Normal,ALERT: Severe,38.7,99,-85,2026-05-15 14:57:36,At Checkpoint,2026-05-25,On Track
SHP000095,BAT000095,DRG0095,Metformin 850mg,SUP011,Ahmedabad Hub,Kolkata Cold Chain,23.051642,73.142688,32.6,CRITICAL TEMP EXCURSION,79.1,High Humidity Alert,Normal,7.2,97,-61,2026-05-16 00:25:36,In Transit,2026-05-23,On Track
SHP000096,BAT000096,DRG0096,Metformin 1000mg,SUP018,Kolkata Cold Chain,Mumbai Warehouse,20.946739,81.242006,25.5,Normal,65.7,Normal,Normal,31.7,46,-50,2026-05-15 09:12:36,Delayed,2026-05-25,On Track
SHP000097,BAT000097,DRG0097,Glibenclamide 5mg,SUP017,Chennai Port,Hyderabad Depot,13.537874,80.092022,20.3,Normal,82.5,High Humidity Alert,ALERT: Severe,65.3,94,-70,2026-05-15 19:19:36,In Transit,2026-05-19,On Track
SHP000098,BAT000098,DRG0098,Glimepiride 1mg,SUP010,Delhi Cold Hub,Bengaluru Pharma Hub,27.861454,77.18354,27.3,Normal,56.7,Normal,Normal,24.5,56,-74,2026-05-15 08:54:36,Delivered,2026-05-20,On Track
SHP000099,BAT000099,DRG0099,Glimepiride 2mg,SUP019,Ahmedabad Hub,Mumbai Warehouse,20.16679,72.781256,22.7,Normal,47.0,Normal,ALERT: Severe,68.6,83,-85,2026-05-15 20:35:36,At Checkpoint,2026-05-23,On Track
SHP000100,BAT000100,DRG0100,Glimepiride 4mg,SUP013,Lucknow Store,Ahmedabad Hub,23.354079,73.17217,22.6,Normal,49.1,Normal,ALERT: Severe,89.2,52,-56,2026-05-15 19:27:36,In Transit,2026-05-16,On Track
SHP000101,BAT000101,DRG0101,Gliclazide 30mg MR,SUP004,Kolkata Cold Chain,Hyderabad Depot,20.761263,84.874242,34.4,CRITICAL TEMP EXCURSION,83.6,High Humidity Alert,Minor,38.4,43,-81,2026-05-15 15:41:36,In Transit,2026-05-17,On Track
SHP000102,BAT000102,DRG0102,Gliclazide 60mg MR,SUP006,Lucknow Store,Pune Distribution,25.722651,79.944709,26.3,Normal,62.6,Normal,ALERT: Severe,0.7,67,-88,2026-05-16 02:59:36,In Transit,2026-05-24,On Track
SHP000103,BAT000103,DRG0103,Sitagliptin 50mg,SUP018,Bengaluru Pharma Hub,Ahmedabad Hub,17.09854,75.49735,28.2,Normal,63.8,Normal,Minor,55.9,91,-57,2026-05-15 11:17:36,In Transit,2026-05-25,On Track
SHP000104,BAT000104,DRG0104,Sitagliptin 100mg,SUP020,Kolkata Cold Chain,Pune Distribution,18.825422,74.972973,22.0,Normal,44.4,Normal,Normal,67.1,59,-65,2026-05-15 21:57:36,In Transit,2026-05-20,On Track
SHP000105,BAT000105,DRG0105,Vildagliptin 50mg,SUP020,Lucknow Store,Delhi Cold Hub,27.588467,79.476964,20.9,Normal,68.8,Normal,Normal,24.8,77,-92,2026-05-15 23:01:36,At Checkpoint,2026-05-20,On Track
SHP000106,BAT000106,DRG0106,Saxagliptin 5mg,SUP004,Kolkata Cold Chain,Chennai Port,22.435507,88.258567,20.1,Normal,42.3,Normal,Minor,29.5,73,-102,2026-05-15 10:05:36,Delayed,2026-05-23,On Track
